Georgenia_Cluster_1	Georgenia_sp_Georgenia_soli_Georgenia_muralis_Georgenia_ferrireducens_Georgenia_daeguensis_Georgenia_ruanii
Streptomyces_Cluster_1	Streptomyces_lavendulocolor_Streptomyces_albidoflavus_Streptomyces_yaanensis_Streptomyces_triostinicus_Streptomyces_shenzhenensis_Streptomyces_seoulensis_Streptomyces_sasae_Streptomyces_roseochromogenus_Streptomyces_rhizophilus_Streptomyces_recifensis_Streptomyces_puniciscabiei_Streptomyces_psammoticus_Streptomyces_panaciradicis_Streptomyces_olivicoloratus_Streptomyces_novaecaesareae_Streptomyces_murinus_Streptomyces_misawanensis_Streptomyces_miharaensis_Streptomyces_mangrovisoli_Streptomyces_lucensis_Streptomyces_longwoodensis_Streptomyces_lanatus_Streptomyces_kathirae_Streptomyces_jiujiangensis_Streptomyces_griseovariabilis_Streptomyces_griseoluteus_Streptomyces_graminisoli_Streptomyces_gramineus_Streptomyces_ginsengisoli_Streptomyces_gilvifuscus_Streptomyces_fuscichromogenes_Streptomyces_fulvoviolaceus_Streptomyces_filipinensis_Streptomyces_echinatus_Streptomyces_durhamensis_Streptomyces_drozdowiczii_Streptomyces_diastatochromogenes_Streptomyces_collinus_Streptomyces_atroolivaceus_Streptomyces_actinomycinicus
Rhodococcus_Cluster_4	Rhodococcus_pyridinivorans_Rhodococcus_coprophilus_Rhodococcus_gordoniae_Rhodococcus_biphenylivorans_Rhodococcus_artemisiae_Rhodococcus_indicum
Exiguobacterium_Cluster_2	Exiguobacterium_sibiricum_Exiguobacterium_artemiae_Exiguobacterium_antarcticum_Exiguobacterium_oxidotolerans
Mycobacterium_Cluster_5	Mycobacterium_smegmatis_Mycobacterium_setense_Mycobacterium_septicum_Mycobacterium_senegalense_Mycobacterium_porcinum_Mycobacterium_parafortuitum_Mycobacterium_neworleansense_Mycobacterium_montmartrense_Mycobacterium_isoniacini_Mycobacterium_hodleri_Mycobacterium_fortuitum_Mycobacterium_arabiense_Mycobacterium_houstonense_Mycobacterium_goodii_Mycobacterium_fluoranthenivorans_Mycobacterium_farcinogenes_Mycobacterium_conceptionense_Mycobacterium_boenickei_Mycobacterium_anthracenicum_Mycobacterium_arceuilense
Halorubrum_Cluster_1	Halorubrum_xinjiangense_Halorubrum_terrestre_Halorubrum_litoreum_Halorubrum_chaoviator_Halorubrum_distributum
Methylophaga_Cluster_1	Methylophaga_thalassica_Methylophaga_marina_Methylophaga_aminisulfidivorans_Methylophaga_sulfidovorans
Aliivibrio_Cluster_1	Aliivibrio_wodanis_Aliivibrio_logei_Aliivibrio_fischeri_Aliivibrio_salmonicida_Aliivibrio_finisterrensis_Aliivibrio_sifiae
Pseudonocardia_Cluster_3	Pseudonocardia_yuanmonensis_Pseudonocardia_kujensis_Pseudonocardia_halophobica_Pseudonocardia_oroxyli_Pseudonocardia_profundimaris
Actinopolyspora_Cluster_2	Actinopolyspora_xinjiangensis_Actinopolyspora_righensis_Actinopolyspora_mortivallis_Actinopolyspora_lacussalsi
Streptomyces_Cluster_6	Streptomyces_zagrosensis_Streptomyces_yunnanensis_Streptomyces_youssoufiensis_Streptomyces_pactum_Streptomyces_mycarofaciens_Streptomyces_mutabilis_Streptomyces_lunalinharesii_Streptomyces_griseolus_Streptomyces_endosymbiont_Streptomyces_albus_Streptomyces_albulus_Streptomyces_ahygroscopicus_Streptomyces_albogriseus
Aminobacter_Cluster_1	Aminobacter_sp_Aminobacter_niigataensis_Aminobacter_ciceronei_Aminobacter_aminovorans_Aminobacter_aganoensis
Bifidobacterium_Cluster_1	Bifidobacterium_subtile_Bifidobacterium_pullorum_Bifidobacterium_gallinarum_Bifidobacterium_saeculare
